Shimmer_3B52_Timestamp_Shimmer_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL
806340.4846,1.380434783,10.79347826,1.739130435,-0.6391382406,10.25733094,0.09096349491,3,0.005106005106,195847.8261,-0.7633587786,-0.1832061069,-0.8702290076,-0.9415292354,0.6926536732,1.563718141,1503.296703
806345.4285,1.369565217,10.82608696,1.739130435,-0.6463195691,10.27408737,0.06223818073,3,0.004662004662,214500,-0.7633587786,0.3664122137,-0.7022900763,-0.9415292354,0.6926536732,1.563718141,1505.494505
806350.3723,1.369565217,10.81521739,1.75,-0.6678635548,10.25254339,0.1196888091,3,0.005106005106,195847.8261,-0.7175572519,0.8396946565,-0.9160305344,-0.9355322339,0.6836581709,1.574212894,1499.6337
806355.3162,1.380434783,10.82608696,1.760869565,-0.6391382406,10.27408737,0.07181328546,3,0.004662004662,214500,-1.038167939,0.5190839695,-0.7022900763,-0.9355322339,0.6836581709,1.574212894,1502.564103
806360.26,1.380434783,10.80434783,1.77173913,-0.684619988,10.23818073,0.1149012567,3,0.004662004662,214500,-0.3969465649,0.534351145,-0.7328244275,-0.9505247376,0.7016491754,1.568215892,1497.435897
806365.2039,1.380434783,10.81521739,1.77173913,-0.6535008977,10.25733094,0.07181328546,3,0.004662004662,214500,-0.8854961832,0.8244274809,-0.7328244275,-0.9505247376,0.7016491754,1.568215892,1498.168498
806370.1477,1.391304348,10.82608696,1.72826087,-0.6678635548,10.29802513,0.06463195691,3,0.004662004662,214500,-0.6106870229,1.236641221,-0.641221374,-0.9505247376,0.7076461769,1.580209895,1503.296703
806375.0916,1.369565217,10.81521739,1.739130435,-0.6535008977,10.23578695,0.1268701376,3,0.004662004662,214500,-0.641221374,1.297709924,-0.8396946565,-0.9505247376,0.7076461769,1.580209895,1505.494505
806380.0354,1.380434783,10.80434783,1.739130435,-0.6654697786,10.24536206,0.06941950928,3,0.004662004662,214500,-0.7633587786,0.9618320611,-0.7633587786,-0.9505247376,0.7076461769,1.580209895,1506.227106
806382.5073,1.369565217,10.81521739,1.739130435,-0.6463195691,10.28366248,0.1125074806,3,0.004662004662,214500,-0.9770992366,0.9160305344,-0.5801526718,-0.9460269865,0.7031484258,1.568215892,1506.227106
806387.4512,1.391304348,10.80434783,1.75,-0.6391382406,10.2716936,0.1101137044,3,0.004662004662,214500,-0.8702290076,0.9923664122,-0.534351145,-0.9460269865,0.7031484258,1.568215892,1499.6337
806392.395,1.413043478,10.83695652,1.77173913,-0.631956912,10.26690604,0.1364452424,3,0.005106005106,195847.8261,-0.7938931298,1.099236641,-0.5496183206,-0.9475262369,0.7091454273,1.572713643,1496.703297
806397.3389,1.391304348,10.82608696,1.77173913,-0.65828845,10.27648115,0.09096349491,3,0.005106005106,195847.8261,-0.6717557252,0.8549618321,-0.6870229008,-0.9475262369,0.7091454273,1.572713643,1495.970696
806402.2827,1.369565217,10.82608696,1.782608696,-0.6558946738,10.29084381,0.08617594255,3,0.005106005106,195847.8261,-0.3816793893,0.6870229008,-0.7633587786,-0.9415292354,0.7106446777,1.569715142,1493.772894
806407.2266,1.380434783,10.81521739,1.782608696,-0.631956912,10.26451227,0.08856971873,3,0.004662004662,214500,-0.6106870229,0.5801526718,-0.6259541985,-0.9415292354,0.7106446777,1.569715142,1493.772894
806412.1704,1.369565217,10.81521739,1.760869565,-0.6558946738,10.31478157,0.1292639138,3,0.004662004662,214500,-0.6106870229,0.1374045802,-0.8091603053,-0.9430284858,0.7046476762,1.569715142,1498.168498
806417.1143,1.347826087,10.81521739,1.739130435,-0.6463195691,10.31956912,0.002393776182,3,0.005106005106,195847.8261,-0.6870229008,0.3358778626,-0.7175572519,-0.9430284858,0.7046476762,1.569715142,1503.296703
806422.0581,1.347826087,10.80434783,1.75,-0.6606822262,10.26451227,0.1196888091,3,0.005106005106,195847.8261,-0.8549618321,-0.2900763359,-0.641221374,-0.9580209895,0.6941529235,1.578710645,1495.970696
806427.002,1.369565217,10.81521739,1.75,-0.6535008977,10.27887493,0.08856971873,3,0.005106005106,195847.8261,-0.9007633588,-0.106870229,-0.4732824427,-0.9580209895,0.6941529235,1.578710645,1497.435897
806431.9458,1.380434783,10.79347826,1.75,-0.6702573309,10.30281269,0.07420706164,3,0.005106005106,195847.8261,-0.6717557252,-0.2900763359,-0.9007633588,-0.952023988,0.7061469265,1.580209895,1498.901099
806436.8896,1.369565217,10.81521739,1.75,-0.6175942549,10.25733094,0.09575104728,3,0.005106005106,195847.8261,-0.6106870229,-0.1526717557,-0.5648854962,-0.952023988,0.7061469265,1.580209895,1499.6337
