Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL,time
2023/06/30 14:23:58,1.902173913,2.02173913,11.04347826,-0.1268701376,0.09575104728,10.43925793,3,0.00333000333,300300,-0.7175572519,1.435114504,-0.7633587786,0.1604197901,0.06596701649,-0.191904048,1279.120879,1438
2023/06/30 14:23:58,1.869565217,2.010869565,11.0326087,-0.1388390186,0.105326152,10.42728905,3,0.00333000333,300300,-0.5954198473,1.496183206,-0.7786259542,0.1664167916,0.07496251874,-0.1949025487,1277.655678,1438
2023/06/30 14:23:58,1.869565217,1.989130435,11.0326087,-0.1220825853,0.1029323758,10.44165171,3,0.00333000333,300300,-0.5038167939,1.328244275,-0.7938931298,0.1709145427,0.06446776612,-0.191904048,1276.923077,1438
2023/06/30 14:23:58,1.880434783,1.989130435,11.0326087,-0.13165769,0.1101137044,10.44643926,3,0.00333000333,300300,-0.7938931298,1.419847328,-1.053435115,0.1604197901,0.05697151424,-0.1979010495,1277.655678,1438
2023/06/30 14:23:58,1.869565217,2,11.0326087,-0.13165769,0.1029323758,10.43925793,3,0.00333000333,300300,-0.7328244275,1.374045802,-0.9007633588,0.1634182909,0.05997001499,-0.1844077961,1277.655678,1438
2023/06/30 14:23:58,1.869565217,1.989130435,11.01086957,-0.1244763615,0.1077199282,10.44404548,3,0.003774003774,264970.5882,-0.9465648855,1.114503817,-0.8091603053,0.1619190405,0.06896551724,-0.191904048,1277.655678,1438
2023/06/30 14:23:58,1.869565217,2.010869565,11.04347826,-0.1244763615,0.0933572711,10.46319569,3,0.00333000333,300300,-1.022900763,1.389312977,-0.7938931298,0.1664167916,0.06446776612,-0.1859070465,1275.457875,1438
2023/06/30 14:23:58,1.858695652,2,11.01086957,-0.1172950329,0.09575104728,10.4225015,3,0.00333000333,300300,-0.9312977099,1.465648855,-0.7480916031,0.1664167916,0.06896551724,-0.1904047976,1276.190476,1438
2023/06/30 14:23:58,1.858695652,1.989130435,11.04347826,-0.1388390186,0.1005385996,10.44883303,3,0.003774003774,264970.5882,-0.6106870229,1.34351145,-1.053435115,0.1649175412,0.07946026987,-0.191904048,1276.190476,1438
2023/06/30 14:23:58,1.847826087,2.010869565,11.02173913,-0.1340514662,0.0933572711,10.45601436,3,0.00333000333,300300,-0.7786259542,1.221374046,-0.9007633588,0.1634182909,0.06596701649,-0.1949025487,1280.586081,1438
2023/06/30 14:23:58,1.836956522,2,11.0326087,-0.1412327947,0.09814482346,10.44643926,3,0.00333000333,300300,-0.7022900763,1.465648855,-0.8091603053,0.1634182909,0.06896551724,-0.1874062969,1279.120879,1438
2023/06/30 14:23:58,1.869565217,2.010869565,11.02173913,-0.1244763615,0.09575104728,10.43447038,3,0.00333000333,300300,-0.9923664122,1.251908397,-0.9923664122,0.1604197901,0.06896551724,-0.191904048,1282.051282,1438
2023/06/30 14:23:58,1.858695652,1.989130435,11,-0.1268701376,0.1149012567,10.44404548,3,0.003774003774,264970.5882,-0.8549618321,1.160305344,-0.6870229008,0.1574212894,0.07646176912,-0.1949025487,1283.516484,1438
2023/06/30 14:23:58,1.869565217,1.989130435,11,-0.1244763615,0.08617594255,10.44404548,3,0.00333000333,300300,-0.6717557252,1.297709924,-0.7633587786,0.1619190405,0.06596701649,-0.1934032984,1284.981685,1438
2023/06/30 14:23:58,1.869565217,2,11.01086957,-0.1292639138,0.08617594255,10.44165171,3,0.00333000333,300300,-1.038167939,1.58778626,-0.7175572519,0.167916042,0.06446776612,-0.1949025487,1282.051282,1438
2023/06/30 14:23:58,1.847826087,2.02173913,11.0326087,-0.1364452424,0.09575104728,10.43925793,3,0.00333000333,300300,-0.8244274809,0.9007633588,-0.7175572519,0.1709145427,0.06746626687,-0.1979010495,1279.85348,1438
2023/06/30 14:23:58,1.869565217,2,11.0326087,-0.08856971873,0.08138839019,10.43686415,3,0.003774003774,264970.5882,-0.5801526718,1.389312977,-0.8702290076,0.1619190405,0.06746626687,-0.1934032984,1277.655678,1438
2023/06/30 14:23:59,1.891304348,1.989130435,11.04347826,-0.1508078995,0.1077199282,10.44165171,3,0.003774003774,264970.5882,-1.86259542,-2.045801527,-0.9465648855,0.1649175412,0.06296851574,-0.1889055472,1276.923077,1439
2023/06/30 14:23:59,1.02173913,2.445652174,10.97826087,-0.8138839019,0.4308797127,10.39856373,3,0.003774003774,264970.5882,0.9465648855,7.145038168,24.50381679,0.1604197901,0.07196401799,-0.1934032984,1286.446886,1439
2023/06/30 14:23:59,1.923913043,1.934782609,11.07608696,-0.1627767804,0.09575104728,10.49910233,3,0.00333000333,300300,-0.4885496183,1.572519084,42.76335878,0.1649175412,0.07046476762,-0.1844077961,1277.655678,1439
2023/06/30 14:23:59,2.413043478,1.695652174,11.0326087,0.6870137642,-0.2776780371,10.4320766,3,0.003774003774,264970.5882,-1.969465649,-1.496183206,6.534351145,0.1619190405,0.05247376312,-0.1844077961,1276.923077,1439
2023/06/30 14:23:59,1.706521739,2.065217391,11.06521739,-0.2968282466,0.1651705566,10.48473968,3,0.00333000333,300300,-2.335877863,-2.229007634,-0.7022900763,0.1619190405,0.05397301349,-0.179910045,1274.725275,1439
2023/06/30 14:23:59,1.804347826,2.010869565,11.0326087,-0.1603830042,0.09814482346,10.44165171,3,0.00333000333,300300,-1.34351145,0.8549618321,-0.9770992366,0.1574212894,0.06296851574,-0.1844077961,1275.457875,1439
2023/06/30 14:23:59,1.836956522,2.010869565,11.0326087,-0.1364452424,0.09575104728,10.43686415,3,0.003774003774,264970.5882,-1.038167939,1.007633588,-0.9312977099,0.1574212894,0.07496251874,-0.179910045,1276.190476,1439
