Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,conductance,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A13_CAL,,time
2023/06/29 14:12:56,8.22826087,0.652173913,8.652173913,6.707360862,-1.371633752,7.648114901,1,9.748439714,102.5805185,-15.3740458,-6.503816794,-9.389312977,-0.1874062969,0.2023988006,-0.2578710645,1298.168498,12:56,776
2023/06/29 14:12:56,7.967391304,0.847826087,8,7.147815679,-1.302214243,7.444643926,1,9.763755408,102.4196078,-6.061068702,3.572519084,-18.59541985,-0.203898051,0.2113943028,-0.2533733133,1378.021978,12:56,776
2023/06/29 14:12:56,8.206521739,0.5434782609,8.086956522,6.827049671,-1.718731299,6.817474566,1,9.76886064,102.3660831,-15.61832061,13.92366412,2.381679389,-0.1994002999,0.1994002999,-0.2428785607,1405.128205,12:56,776
2023/06/29 14:12:56,8.130434783,0.2717391304,8.445652174,7.042489527,-2.046678636,7.344105326,1,9.794386798,102.0992963,-9.770992366,0.8702290076,-0.534351145,-0.191904048,0.2218890555,-0.2533733133,1375.091575,12:56,776
2023/06/29 14:12:56,8.119565217,0.09782608696,8.195652174,6.824655895,-2.037103531,7.549970078,1,9.825018187,101.7809821,7.282442748,-1.480916031,5.755725191,-0.1994002999,0.2203898051,-0.2443778111,1394.871795,12:56,776
2023/06/29 14:12:57,8.326086957,0.2065217391,7.967391304,7.092758827,-1.982046679,7.049670856,1,9.911807124,100.8897759,3.282442748,-0.7633587786,-0.09160305344,-0.2128935532,0.2233883058,-0.2548725637,1424.175824,12:57,777
2023/06/29 14:12:57,8.152173913,0.3260869565,8.076086957,6.953919808,-1.84320766,7.157390784,1,9.988385598,100.1162791,1.633587786,0.8549618321,2.061068702,-0.2023988006,0.2218890555,-0.2458770615,1428.571429,12:57,777
2023/06/29 14:12:57,8.152173913,0.1413043478,8.097826087,6.968282466,-1.778575703,7.123877917,1,10.05475361,99.45544554,-2.580152672,-0.7938931298,-0.9770992366,-0.2008995502,0.2203898051,-0.2428785607,1425.641026,12:57,777
2023/06/29 14:12:57,8.206521739,0.2282608696,8.065217391,7.008976661,-1.955715141,7.154997008,1,10.08027977,99.20359585,-0.7175572519,1.328244275,-0.8091603053,-0.2083958021,0.2233883058,-0.2578710645,1433.699634,12:57,777
2023/06/29 14:12:57,8.195652174,0.2391304348,8.043478261,6.999401556,-1.926989826,7.133453022,1,10.08027977,99.20359585,-1.190839695,0.9465648855,-0.7480916031,-0.1979010495,0.2143928036,-0.251874063,1438.095238,12:57,777
2023/06/29 14:12:58,8.206521739,0.2282608696,8.032608696,6.999401556,-1.941352484,7.145421903,1,10.06496407,99.35455237,-0.2595419847,1.419847328,-0.5496183206,-0.2008995502,0.2203898051,-0.2533733133,1440.29304,12:58,778
2023/06/29 14:12:58,8.217391304,0.1847826087,8.043478261,6.987432675,-1.895870736,7.131059246,1,10.03943791,99.6071701,-0.03053435115,0.1526717557,0.1526717557,-0.2053973013,0.2188905547,-0.2503748126,1441.025641,12:58,778
2023/06/29 14:12:58,8.195652174,0.2173913043,8.097826087,7.056852184,-1.907839617,7.073608618,1,10.00880652,99.91201224,-0.7938931298,1.358778626,-0.7022900763,-0.2068965517,0.215892054,-0.2488755622,1432.967033,12:58,778
2023/06/29 14:12:58,8.22826087,0.1956521739,8.054347826,7.044883303,-1.936564931,7.097546379,1,9.952648977,100.475763,-0.4885496183,1.007633588,-0.8854961832,-0.2083958021,0.2203898051,-0.2488755622,1433.699634,12:58,778
2023/06/29 14:12:58,8.239130435,0.1739130435,8.032608696,7.02812687,-1.929383603,7.107121484,1,9.89649143,101.0459118,-0.8396946565,1.038167939,-1.022900763,-0.2068965517,0.2173913043,-0.2488755622,1438.827839,12:58,778
2023/06/29 14:12:59,8.22826087,0.25,8.032608696,7.025733094,-1.965290245,7.121484141,1,9.835228651,101.6753179,-0.4427480916,-0.1679389313,-0.7480916031,-0.2083958021,0.2218890555,-0.2488755622,1441.025641,12:59,779
2023/06/29 14:12:59,8.217391304,0.1956521739,8.065217391,7.054458408,-1.97486535,7.097546379,1,9.76886064,102.3660831,-0.5648854962,0.7480916031,-1.007633588,-0.2083958021,0.2083958021,-0.251874063,1441.758242,12:59,779
2023/06/29 14:12:59,8.260869565,0.1956521739,8.02173913,7.02812687,-1.948533812,7.102333932,1,9.692282166,103.1748749,-0.7328244275,0.6106870229,-0.8702290076,-0.2053973013,0.215892054,-0.2548725637,1446.153846,12:59,779
2023/06/29 14:12:59,8.25,0.1847826087,8,7.018551765,-1.931777379,7.090365051,1,9.625914156,103.8862371,-0.7480916031,1.389312977,-0.9923664122,-0.2068965517,0.2143928036,-0.2548725637,1449.084249,12:59,779
2023/06/29 14:12:59,8.217391304,0.1847826087,8.043478261,7.030520646,-1.936564931,7.087971275,1,9.569756608,104.4958656,-0.9007633588,1.389312977,-0.4580152672,-0.2128935532,0.2143928036,-0.2428785607,1446.153846,12:59,779
2023/06/29 14:13:00,8.293478261,0.1195652174,8.010869565,7.001795332,-1.898264512,7.090365051,1,9.508493829,105.1691275,-0.6717557252,1.297709924,-0.4885496183,-0.2068965517,0.1994002999,-0.2368815592,1446.153846,13:00,780
2023/06/29 14:13:00,8.22826087,0.2065217391,8.032608696,6.992220227,-1.92459605,7.121484141,1,9.452336282,105.7939509,-0.7786259542,0.7175572519,-0.320610687,-0.2068965517,0.2173913043,-0.2548725637,1444.688645,13:00,780
2023/06/29 14:13:00,8.195652174,0.1847826087,8.065217391,7.04727708,-1.94374626,7.095152603,1,9.406389197,106.3107191,-0.2900763359,1.572519084,-0.3664122137,-0.2083958021,0.2143928036,-0.2503748126,1443.223443,13:00,780
2023/06/29 14:13:00,8.206521739,0.1739130435,8.054347826,7.023339318,-1.922202274,7.097546379,1,9.360442113,106.8325607,-0.7022900763,1.312977099,-0.6106870229,-0.203898051,0.2188905547,-0.2548725637,1438.827839,13:00,780
2023/06/29 14:13:00,8.22826087,0.1847826087,8.054347826,7.018551765,-1.936564931,7.102333932,1,9.31960026,107.3007395,-0.2442748092,1.297709924,-1.190839695,-0.2128935532,0.2188905547,-0.2533733133,1436.630037,13:00,780
2023/06/29 14:13:01,8.141304348,0.25,8.032608696,7.030520646,-1.936564931,7.111909037,1,9.273653176,107.8323699,-0.06106870229,0.2595419847,-0.1679389313,-0.2113943028,0.2233883058,-0.2428785607,1440.29304,13:01,781
