Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL
2023/06/30 14:38:42,1.858695652,2.032608696,10.98913043,-0.1412327947,0.1244763615,10.47037702,3,0.002886002886,346500,-0.7480916031,0.8702290076,-1.053435115,0.2323838081,-0.3373313343,-0.9835082459,1290.10989
2023/06/30 14:38:42,1.858695652,2.02173913,11,-0.1172950329,0.1388390186,10.47755835,3,0.002886002886,346500,-1.022900763,1.435114504,-0.9312977099,0.2323838081,-0.3403298351,-0.9775112444,1290.10989
2023/06/30 14:38:42,1.826086957,2.032608696,11,-0.1244763615,0.1388390186,10.47037702,3,0.002442002442,409500,-0.7022900763,1.007633588,-0.9007633588,0.2323838081,-0.3373313343,-0.9805097451,1290.842491
2023/06/30 14:38:42,1.869565217,2.010869565,11.01086957,-0.1268701376,0.1268701376,10.48473968,3,0.002886002886,346500,-0.7633587786,1.083969466,-0.7480916031,0.2323838081,-0.3283358321,-0.9820089955,1285.714286
2023/06/30 14:38:42,1.869565217,2.02173913,11.01086957,-0.1244763615,0.1364452424,10.4727708,3,0.002442002442,409500,-0.7633587786,1.251908397,-0.7938931298,0.2338830585,-0.3373313343,-0.9835082459,1284.249084
2023/06/30 14:38:42,1.847826087,2.02173913,11,-0.1172950329,0.1340514662,10.47995212,3,0.002886002886,346500,-0.6106870229,1.236641221,-0.9160305344,0.2338830585,-0.3328335832,-0.976011994,1287.912088
2023/06/30 14:38:42,1.858695652,2.010869565,11,-0.1412327947,0.1220825853,10.4727708,3,0.002886002886,346500,-0.4580152672,1.34351145,-1.053435115,0.2323838081,-0.3373313343,-0.9910044978,1289.377289
2023/06/30 14:38:42,1.858695652,2.010869565,11,-0.1125074806,0.1364452424,10.47995212,3,0.002886002886,346500,-0.9007633588,1.297709924,-0.9618320611,0.2323838081,-0.347826087,-0.9820089955,1290.10989
2023/06/30 14:38:42,1.847826087,2.010869565,10.98913043,-0.1196888091,0.1340514662,10.47995212,3,0.002886002886,346500,-0.7328244275,1.435114504,-0.8549618321,0.227886057,-0.3283358321,-0.9700149925,1290.842491
2023/06/30 14:38:43,1.880434783,2.02173913,11.04347826,-0.1244763615,0.1436265709,10.49192101,3,0.002886002886,346500,-1.86259542,-1.86259542,-0.5954198473,0.2263868066,-0.3418290855,-0.9850074963,1285.714286
