Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,conductance,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A13_CAL,Time
2023/06/28 13:23:19,10.7173913,2.793478261,1.456521739,9.76181927,0.4332734889,-0.3231597846,1,8.492552743,117.7502254,99.64885496,11.41984733,3.007633588,-0.3328335832,0.1124437781,0.2473763118,2798.534799,19
2023/06/28 13:23:19,10.73913043,3.25,1.934782609,9.508078995,1.821663674,-0.04787552364,1,8.472131817,118.0340464,52.47328244,-0.06106870229,-4.519083969,-0.3313343328,0.1454272864,0.2848575712,2797.802198,19
2023/06/28 13:23:19,10.43478261,3.467391304,1.804347826,9.3668462,1.218432077,0.1388390186,1,8.426184733,118.6776734,29.3740458,-16.83969466,-6.65648855,-0.3163418291,0.1484257871,0.3148425787,2797.802198,20
2023/06/28 13:23:20,10.85869565,2.130434783,-0.1630434783,9.314183124,0.684619988,-0.9982046679,1,8.395553343,119.1106719,11.00763359,-16.22900763,-8.809160305,-0.3103448276,0.1304347826,0.3343328336,2798.534799,20
2023/06/28 13:23:20,10.06521739,2.826086957,0.347826087,9.618192699,0.5625374028,-2.245362059,1,8.354711491,119.6929423,23.98473282,-9.328244275,-5.312977099,-0.3088455772,0.1304347826,0.3343328336,2797.069597,20
2023/06/28 13:23:20,10.36956522,2.630434783,0.2282608696,9.534410533,1.019748654,-1.622980251,1,8.329185333,120.059761,26.29007634,1.969465649,11.51145038,-0.3088455772,0.1454272864,0.3448275862,0,20
2023/06/28 13:23:20,10.83695652,2.402173913,0.01086956522,9.307001795,0.9192100539,-2.309994016,1,8.313869638,120.2809334,6.687022901,3.603053435,18.53435115,-0.299850075,0.179910045,0.3688155922,2797.069597,20
2023/06/28 13:23:20,9.847826087,1.423913043,0.4239130435,10.36265709,-0.5936564931,-2.015559545,1,8.313869638,120.2809334,29.03816794,-14.93129771,-30.19847328,-0.299850075,0.215892054,0.3943028486,2797.069597,21
2023/06/28 13:23:21,9.402173913,2.163043478,0.6086956522,9.450628366,-1.187312986,-2.135248354,1,8.329185333,120.059761,46.73282443,-27.92366412,-13.98473282,-0.2743628186,0.1979010495,0.4032983508,0,21
2023/06/28 13:23:21,11.04347826,1.989130435,0.1413043478,9.330939557,0.5840813884,-1.436265709,1,8.370027185,119.473925,15.90839695,14.97709924,25.86259542,-0.2548725637,0.2293853073,0.4332833583,2797.069597,21
2023/06/28 13:23:21,10.79347826,1.47826087,-0.5108695652,10.25254339,-0.5649311789,-2.669060443,1,8.380237649,119.3283582,-21.52671756,-0.8091603053,1.20610687,-0.2668665667,0.2623688156,0.4167916042,2797.069597,21
2023/06/28 13:23:21,10.80434783,0.5108695652,-0.4130434783,10.673848,-0.7564332735,-3.035308199,1,8.395553343,119.1106719,-39.89312977,4.900763359,-10.32061069,-0.2353823088,0.2218890555,0.4122938531,0,21
2023/06/28 13:23:21,10.2173913,1.239130435,-1.02173913,9.091561939,-0.4500299222,-2.721723519,1,8.395553343,119.1106719,-49.48091603,11.46564885,11.69465649,-0.2083958021,0.1784107946,0.4167916042,2797.069597,22
2023/06/28 13:23:22,10.17391304,1.217391304,-0.9130434783,8.797127469,-0.684619988,-2.79593058,1,8.400658575,119.0382862,-28.88549618,12.22900763,13.61832061,-0.2053973013,0.1469265367,0.3853073463,2797.069597,22
2023/06/28 13:23:22,10.57608696,1.630434783,-0.5217391304,9.33572711,-0.2872531418,-2.685816876,1,8.380237649,119.3283582,-3.374045802,5.984732824,4.534351145,-0.2008995502,0.1469265367,0.3658170915,0,22
2023/06/28 13:23:22,12.01086957,1.195652174,-0.8695652174,10.13764213,-0.02872531418,-2.647516457,1,8.380237649,119.3283582,10.0610687,7.923664122,-3.114503817,-0.1949025487,0.1484257871,0.3373313343,2797.069597,22
2023/06/28 13:23:22,10.17391304,1.456521739,-0.08695652174,9.081986834,-0.04069419509,-2.029922202,1,8.380237649,119.3283582,-14.61068702,-3.801526718,-8.79389313,-0.179910045,0.1544227886,0.3418290855,2797.802198,22
2023/06/28 13:23:22,9.847826087,2.304347826,-0.2282608696,8.552962298,0.6271693597,-1.922202274,1,8.364921954,119.5468416,-47.16030534,6.305343511,22.87022901,-0.1649175412,0.1424287856,0.3313343328,0,23
2023/06/28 13:23:23,10.52173913,1.184782609,-0.02173913043,9.668461999,-0.5074805506,-2.489527229,1,8.364921954,119.5468416,-65.96946565,-7.984732824,13.41984733,-0.1574212894,0.143928036,0.2953523238,2797.802198,23
2023/06/28 13:23:23,11.39130435,1.739130435,-0.6630434783,9.814482346,-0.1388390186,-2.113704369,1,8.349606259,119.7661266,-60.6870229,-4.458015267,14.99236641,-0.1514242879,0.1364317841,0.2788605697,2797.069597,23
2023/06/28 13:23:23,9.934782609,2.217391304,-1.380434783,9.058049072,-0.4883303411,-2.271693597,1,8.334290564,119.9862175,-50.7480916,7.541984733,16.61068702,-0.1544227886,0.1409295352,0.2683658171,0,23
2023/06/28 13:23:23,9.315217391,0.9565217391,-0.5217391304,8.272890485,-1.125074806,-2.623578695,1,8.303659175,120.4288349,-31.34351145,11.22137405,-0.9770992366,-0.1709145427,0.1364317841,0.2353823088,0,23
2023/06/28 13:23:23,10.56521739,0.7934782609,-0.01086956522,8.945541592,-1.151406344,-2.185517654,1,8.28834348,120.6513705,29.46564885,-6.290076336,19.95419847,-0.1754122939,0.131934033,0.2173913043,0,24
2023/06/28 13:23:24,13.16304348,1.141304348,-1.02173913,11.19808498,0.052663076,-2.60203471,1,8.273027785,120.87473,39.49618321,11.63358779,3.435114504,-0.1844077961,0.1709145427,0.2458770615,2797.069597,24
2023/06/28 13:23:24,11.05434783,0.0652173913,0.1086956522,8.598444045,-0.3207660084,-1.292639138,1,8.252606859,121.1738324,-7.603053435,8.015267176,-6.79389313,-0.1814092954,0.191904048,0.2593703148,2797.069597,24
2023/06/28 13:23:24,10.09782609,1.358695652,0.3260869565,8.902453621,-0.2681029324,-1.541591861,1,8.247501627,121.2488394,-49.75572519,18.99236641,18.22900763,-0.2053973013,0.179910045,0.2533733133,0,24
2023/06/28 13:23:24,10.17391304,0.5434782609,0.3152173913,9.747456613,-1.575104728,-1.931777379,1,8.267922554,120.9493671,-66.61068702,1.175572519,3.114503817,-0.2203898051,0.1754122939,0.2203898051,0,24
2023/06/28 13:23:24,10.83695652,1.510869565,0.2608695652,9.740275284,-0.6152004788,-1.622980251,1,8.308764406,120.3548387,-68.07633588,-4.366412214,8.396946565,-0.2368815592,0.1874062969,0.2053973013,2797.802198,25
2023/06/28 13:23:25,9.184782609,0.5760869565,0.75,12.3016158,-1.594254937,-3.42309994,1,8.390448112,119.1831457,-74.22900763,2.351145038,-13.41984733,-0.2473763118,0.1814092954,0.1829085457,0,25
2023/06/28 13:23:25,9.608695652,-0.1956521739,-0.3804347826,9.838420108,-1.694793537,-3.389587074,1,8.487447512,117.8210526,-47.45038168,33.57251908,10.0610687,-0.2533733133,0.1754122939,0.1394302849,0,25
2023/06/28 13:23:25,10.45652174,0.25,-0.2826086957,8.926391382,-1.565529623,-2.867743866,1,8.589552144,116.4205052,13.48091603,-11.22137405,9.160305344,-0.251874063,0.191904048,0.1019490255,0,25
2023/06/28 13:23:25,10.61956522,1.25,0.03260869565,9.666068223,-0.8019150209,-2.10652304,1,8.686551544,115.1204819,33.45038168,0.4885496183,8.41221374,-0.2683658171,0.2233883058,0.1289355322,0,25
2023/06/28 13:23:25,10.29347826,1.956521739,0.5326086957,10.87492519,-0.1962896469,-2.441651706,1,8.747814323,114.314269,20.54961832,0.9923664122,-9.969465649,-0.2608695652,0.2188905547,0.1154422789,0,26
2023/06/28 13:23:26,10.43478261,1.369565217,-0.08695652174,9.18491921,-0.4069419509,-2.041891083,1,8.798866639,113.6510009,-41.92366412,4.27480916,-1.20610687,-0.2548725637,0.2008995502,0.1019490255,0,26
2023/06/28 13:23:26,10.2173913,1.22826087,0.2065217391,9.706762418,-0.6630760024,-1.984440455,1,8.860129418,112.8651685,-110.9160305,12.45801527,18.36641221,-0.2548725637,0.2413793103,0.07646176912,0,26
2023/06/28 13:23:26,10.42391304,0.5,0.02173913043,9.587073609,-1.59904249,-2.128067026,1,8.890760807,112.4763135,-113.221374,10.7480916,17.26717557,-0.2563718141,0.3223388306,0.03748125937,0,26
2023/06/28 13:23:26,10.29347826,0.7391304348,0.2608695652,9.362058648,-1.378815081,-2.058647516,1,8.926497428,112.0260223,-108.0458015,3.679389313,17.98473282,-0.2443778111,0.4152923538,0.04497751124,2798.534799,26
2023/06/28 13:23:26,13.48913043,-0.5217391304,-0.3152173913,11.01137044,-1.180131658,-2.132854578,1,8.911181733,112.218562,-97.51145038,39.03816794,27.78625954,-0.2113943028,0.5157421289,0.08545727136,2797.802198,27
2023/06/28 13:23:27,10.31521739,0.5108695652,-0.03260869565,9.273488929,-0.8545780969,-1.982046679,1,8.885655576,112.5409365,-82,30.36641221,17.81679389,-0.1859070465,0.5817091454,0.1049475262,0,27
2023/06/28 13:23:27,10.22826087,-0.3260869565,-0.2608695652,9.441053262,-1.960502693,-2.669060443,1,8.860129418,112.8651685,-98.71755725,12.82442748,7.603053435,-0.1334332834,0.6626686657,0.1784107946,2797.069597,27
2023/06/28 13:23:27,10.30434783,0,0.2608695652,9.199281867,-2.472770796,-2.149611011,1,8.814182333,113.4535187,-80.91603053,-7.58778626,16.80916031,-0.05697151424,0.7196401799,0.3133433283,2797.802198,27
2023/06/28 13:23:27,10.91304348,0.5434782609,0.402173913,9.967684022,-1.505685218,-1.59904249,1,8.763130017,114.1144771,-47.41984733,8.167938931,8.687022901,0.04497751124,0.6776611694,0.4752623688,2798.534799,27
